date,ticker,search_interest
2019-09-01,CMG,72.0
2019-09-08,CMG,72.07692307692308
2019-09-15,CMG,72.15384615384616
2019-09-22,CMG,72.23076923076923
2019-12-01,CMG,73.0
2019-12-08,CMG,73.3076923076923
2019-12-15,CMG,73.61538461538461
2019-12-22,CMG,73.92307692307692
2020-03-01,CMG,77.0
2020-03-08,CMG,76.91428571428571
2020-03-15,CMG,76.82857142857142
2020-03-22,CMG,76.74285714285715
2020-11-01,CMG,74.0
2020-11-08,CMG,74.12820512820512
2020-11-15,CMG,74.25641025641026
2020-11-22,CMG,74.38461538461539
2021-08-01,CMG,79.0
2021-08-08,CMG,78.84615384615384
2021-08-15,CMG,78.6923076923077
2021-08-22,CMG,78.53846153846153
2022-05-01,CMG,73.0
2022-05-08,CMG,73.05714285714286
2022-05-15,CMG,73.11428571428571
2022-05-22,CMG,73.17142857142858
2023-01-01,CMG,75.0
2023-01-08,CMG,74.94871794871794
2023-01-15,CMG,74.8974358974359
2023-01-22,CMG,74.84615384615384
2023-10-01,CMG,73.0
2023-10-08,CMG,73.16666666666667
2023-10-15,CMG,73.33333333333333
2023-10-22,CMG,73.5
2024-09-01,CMG,81.0
2024-09-08,CMG,81.46153846153847
2024-09-15,CMG,81.92307692307692
2024-09-22,CMG,82.38461538461539
2024-12-01,CMG,87.0
2024-12-08,CMG,86.96153846153847
2024-12-15,CMG,86.92307692307692
2024-12-22,CMG,86.88461538461539
2025-06-01,CMG,86.0
2025-06-08,CMG,86.0
2025-06-15,CMG,86.0
2025-06-22,CMG,86.0
2019-09-01,LULU,27.0
2019-09-08,LULU,28.692307692307693
2019-09-15,LULU,30.384615384615383
2019-09-22,LULU,32.07692307692308
2019-12-01,LULU,49.0
2019-12-08,LULU,47.30769230769231
2019-12-15,LULU,45.61538461538461
2019-12-22,LULU,43.92307692307692
2020-03-01,LULU,27.0
2020-03-08,LULU,27.37142857142857
2020-03-15,LULU,27.742857142857144
2020-03-22,LULU,28.114285714285714
2020-11-01,LULU,40.0
2020-11-08,LULU,39.717948717948715
2020-11-15,LULU,39.43589743589744
2020-11-22,LULU,39.15384615384615
2021-08-01,LULU,29.0
2021-08-08,LULU,29.205128205128204
2021-08-15,LULU,29.41025641025641
2021-08-22,LULU,29.615384615384617
2022-05-01,LULU,37.0
2022-05-08,LULU,37.457142857142856
2022-05-15,LULU,37.91428571428571
2022-05-22,LULU,38.371428571428574
2023-01-01,LULU,53.0
2023-01-08,LULU,52.84615384615385
2023-01-15,LULU,52.69230769230769
2023-01-22,LULU,52.53846153846154
2023-10-01,LULU,47.0
2023-10-08,LULU,47.0625
2023-10-15,LULU,47.125
2023-10-22,LULU,47.1875
2024-09-01,LULU,50.0
2024-09-08,LULU,53.84615384615385
2024-09-15,LULU,57.69230769230769
2024-09-22,LULU,61.53846153846154
2024-12-01,LULU,100.0
2024-12-08,LULU,98.76923076923077
2024-12-15,LULU,97.53846153846153
2024-12-22,LULU,96.3076923076923
2025-06-01,LULU,68.0
2025-06-08,LULU,68.0
2025-06-15,LULU,68.0
2025-06-22,LULU,68.0
2019-09-01,TGT,63.0
2019-09-08,TGT,65.84615384615384
2019-09-15,TGT,68.6923076923077
2019-09-22,TGT,71.53846153846153
2019-12-01,TGT,100.0
2019-12-08,TGT,97.76923076923077
2019-12-15,TGT,95.53846153846153
2019-12-22,TGT,93.3076923076923
2020-03-01,TGT,71.0
2020-03-08,TGT,71.57142857142857
2020-03-15,TGT,72.14285714285714
2020-03-22,TGT,72.71428571428571
2020-11-01,TGT,91.0
2020-11-08,TGT,90.2051282051282
2020-11-15,TGT,89.41025641025641
2020-11-22,TGT,88.61538461538461
2021-08-01,TGT,60.0
2021-08-08,TGT,59.92307692307692
2021-08-15,TGT,59.84615384615385
2021-08-22,TGT,59.76923076923077
2022-05-01,TGT,57.0
2022-05-08,TGT,56.91428571428571
2022-05-15,TGT,56.82857142857143
2022-05-22,TGT,56.74285714285714
2023-01-01,TGT,54.0
2023-01-08,TGT,53.94871794871795
2023-01-15,TGT,53.8974358974359
2023-01-22,TGT,53.84615384615385
2023-10-01,TGT,52.0
2023-10-08,TGT,52.0
2023-10-15,TGT,52.0
2023-10-22,TGT,52.0
2024-09-01,TGT,52.0
2024-09-08,TGT,53.84615384615385
2024-09-15,TGT,55.69230769230769
2024-09-22,TGT,57.53846153846154
2024-12-01,TGT,76.0
2024-12-08,TGT,75.15384615384616
2024-12-15,TGT,74.3076923076923
2024-12-22,TGT,73.46153846153847
2025-06-01,TGT,54.0
2025-06-08,TGT,54.0
2025-06-15,TGT,54.0
2025-06-22,TGT,54.0
